year,month,nino_t,nino_tminus1,nino_tminus2,nino_tplus1,nino_tplus2,nino_tplus3,nino_tplus4,nino_tplus5,nino_tplus6
1997,11,1.0459518599562365,1.002169197396963,0.94824016563147,2.29,2.38,2.03,1.34,0.78,0.57
1988,12,0.08971553610503291,0.045553145336225564,0.11387163561076613,-1.97,-1.47,-1.21,-1.08,-0.88,-0.59
1994,6,0.5886214442013129,0.5574837310195228,0.5610766045548654,0.24,0.53,0.48,0.75,1.11,1.25
2009,10,0.713347921225383,0.6377440347071583,0.6231884057971014,1.46,1.74,1.52,1.25,0.9,0.38
1997,12,1.0196936542669586,1.013015184381779,0.9958592132505175,2.38,2.03,1.34,0.78,0.57,-0.39
1957,5,0.6542669584245078,0.579175704989154,0.5445134575569358,0.63,0.87,0.84,0.72,0.7,0.92
1970,5,0.4529540481400438,0.47288503253796094,0.4782608695652174,-0.69,-1.08,-1.26,-1.07,-1.12,-1.13
2010,12,0.16849015317286653,0.13449023861171366,0.15734989648033132,-1.54,-1.11,-0.93,-0.77,-0.52,-0.38
1998,1,1.039387308533917,0.9869848156182213,1.0062111801242235,2.03,1.34,0.78,0.57,-0.39,-0.99
1983,1,1.0328227571115973,0.9674620390455533,0.9047619047619048,1.94,1.38,0.95,0.9,0.54,-0.11
1972,10,0.8555798687089716,0.7570498915401302,0.7329192546583851,1.9,2.09,1.8,1.2,0.27,-0.58
1989,12,0.4901531728665208,0.3926247288503254,0.42443064182194623,0.01,0.21,0.04,0.08,0.08,-0.08
1962,5,0.32385120350109414,0.3405639913232104,0.40786749482401663,-0.65,-0.53,-0.53,-0.78,-0.75,-0.95
1992,6,0.6455142231947484,0.7158351409978309,0.7556935817805384,0.22,0.05,-0.06,-0.3,-0.28,-0.15
1960,7,0.42888402625820576,0.3839479392624729,0.4554865424430642,-0.15,-0.28,-0.49,-0.45,-0.38,-0.31
1955,11,-0.017505470459518557,-0.010845986984815703,0.21118012422360255,-2.03,-1.2,-0.99,-0.83,-0.97,-0.8
1982,3,0.5470459518599563,0.45336225596529284,0.5341614906832298,0.21,0.45,0.53,0.37,0.73,1.49
1977,2,0.5995623632385121,0.6594360086767896,0.6086956521739131,0.19,-0.38,-0.21,0.01,0.09,-0.01
1969,1,0.7264770240700219,0.6355748373101953,0.6107660455486543,1.11,0.54,0.31,0.35,-0.04,-0.21
1975,9,0.15536105032822767,0.16052060737527113,0.21946169772256735,-1.83,-1.66,-1.93,-2.01,-1.26,-0.82
2005,6,0.5273522975929978,0.5553145336225597,0.5610766045548654,-0.23,-0.05,-0.04,-0.06,-0.59,-0.92
1990,2,0.5645514223194749,0.4924078091106291,0.48033126293995865,0.04,0.08,0.08,-0.08,0.09,0.22
1992,7,0.5667396061269148,0.6160520607375272,0.7225672877846792,0.05,-0.06,-0.3,-0.28,-0.15,0.14
1976,12,0.62582056892779,0.6442516268980477,0.6625258799171843,0.78,0.37,0.19,-0.38,-0.21,0.01
1967,5,0.3894967177242889,0.25596529284164854,0.3457556935817806,-0.26,-0.33,-0.42,-0.86,-0.74,-0.62
1979,3,0.5142231947483589,0.44251626898047725,0.48033126293995865,0.02,-0.25,-0.29,-0.47,-0.1,0.28
1990,8,0.5667396061269148,0.5097613882863341,0.49068322981366463,0.22,0.21,0.1,0.35,0.49,0.32
1979,5,0.46389496717724293,0.4945770065075922,0.5031055900621119,-0.29,-0.47,-0.1,0.28,0.11,0.29
1977,7,0.538293216630197,0.4924078091106291,0.46376811594202905,-0.01,0.4,0.63,0.48,0.7,0.62
1967,6,0.4617067833698031,0.36225596529284165,0.28364389233954457,-0.33,-0.42,-0.86,-0.74,-0.62,-0.65
1961,1,0.450765864332604,0.4078091106290672,0.4140786749482402,-0.19,-0.35,-0.46,-0.18,-0.06,-0.41
1988,4,0.4223194748358863,0.5119305856832972,0.5652173913043479,-1.25,-1.74,-1.74,-1.19,-1.0,-1.9
1959,11,0.3741794310722101,0.38611713665943603,0.34161490683229817,-0.42,-0.28,-0.46,-0.3,-0.33,-0.25
1950,10,0.29321663019693656,0.2776572668112798,0.3064182194616978,-1.23,-1.31,-1.3,-1.04,-0.38,-0.23
1950,5,0.1356673960612692,0.15618221258134485,0.21325051759834374,-1.27,-1.01,-0.97,-0.98,-1.03,-1.23
2008,3,0.25382932166301975,0.12798264642082424,0.15942028985507256,-0.99,-0.84,-0.68,-0.3,-0.13,-0.25
1978,11,0.4354485776805252,0.39045553145336226,0.36024844720496896,-0.06,-0.13,-0.22,-0.02,0.02,-0.25
1975,8,0.18599562363238514,0.18872017353579174,0.19668737060041414,-1.66,-1.83,-1.66,-1.93,-2.01,-1.26
1953,1,0.5623632385120351,0.40563991323210413,0.3457556935817806,0.24,0.29,0.22,0.35,0.39,0.14
1998,2,0.962800875273523,1.0065075921908895,0.9813664596273293,1.34,0.78,0.57,-0.39,-0.99,-1.28
1962,9,0.34792122538293224,0.3752711496746204,0.3975155279503106,-0.75,-0.95,-0.93,-0.78,-0.53,-0.1
2002,3,0.5207877461706784,0.48156182212581344,0.4761904761904762,0.02,0.31,0.72,0.74,0.87,1.09
1996,1,0.33041575492341363,0.28416485900216915,0.27950310559006214,-0.86,-0.61,-0.47,-0.38,-0.44,-0.44
1989,5,0.326039387308534,0.25596529284164854,0.256728778467909,-0.59,-0.57,-0.53,-0.3,-0.4,-0.45
1976,10,0.6827133479212254,0.5553145336225597,0.5320910973084887,0.71,0.49,0.78,0.37,0.19,-0.38
1979,12,0.6323851203501094,0.5531453362255966,0.5300207039337475,0.54,0.22,0.03,-0.07,0.08,0.21
1991,2,0.5886214442013129,0.5965292841648591,0.5797101449275363,0.03,0.19,0.26,0.52,0.76,0.68
1972,5,0.6017505470459519,0.5054229934924078,0.4679089026915114,0.45,0.85,1.09,1.23,1.54,1.9
1978,8,0.3457330415754924,0.3709327548806941,0.36024844720496896,-0.71,-0.46,-0.38,-0.06,-0.13,-0.22
1963,4,0.5120350109409191,0.4685466377440347,0.3975155279503106,-0.3,-0.11,0.49,0.62,0.68,0.64
2004,2,0.5689277899343546,0.5488069414316703,0.5962732919254659,0.12,0.07,0.06,0.13,0.49,0.76
1974,2,0.15536105032822767,0.03687635574837306,0.03933747412008293,-1.45,-1.36,-1.29,-1.2,-0.9,-0.52
2003,1,0.6498905908096281,0.7874186550976139,0.8115942028985508,0.64,0.36,-0.14,-0.61,-0.29,0.21
1972,4,0.5339168490153173,0.4490238611713666,0.4140786749482402,0.38,0.45,0.85,1.09,1.23,1.54
1995,7,0.47264770240700227,0.4598698481561822,0.484472049689441,-0.63,-0.84,-0.88,-1.1,-0.95,-0.86
1982,8,0.6783369803063458,0.5704989154013016,0.6169772256728778,1.49,1.99,1.92,2.2,2.35,1.94
1987,8,0.8621444201312911,0.770065075921909,0.6977225672877847,1.65,1.24,1.07,0.94,0.9,0.28
1962,6,0.3763676148796499,0.2971800433839479,0.36438923395445144,-0.53,-0.53,-0.78,-0.75,-0.95,-0.93
2005,4,0.575492341356674,0.5878524945770065,0.5817805383022775,0.3,0.04,-0.23,-0.05,-0.04,-0.06
2008,11,0.4179431072210066,0.4143167028199566,0.4554865424430642,-0.86,-0.89,-0.79,-0.69,-0.35,0.06
1961,4,0.4179431072210066,0.4143167028199566,0.4679089026915114,-0.18,-0.06,-0.41,-0.67,-0.94,-1.01
1983,6,0.6367614879649891,0.6854663774403471,0.7039337474120083,-0.11,-0.27,-0.52,-1.16,-1.29,-1.03
2004,10,0.6783369803063458,0.665943600867679,0.6645962732919255,0.66,0.74,0.66,0.36,0.45,0.26
1987,9,0.8796498905908097,0.8308026030368765,0.7743271221532091,1.24,1.07,0.94,0.9,0.28,0.1
1952,4,0.5142231947483589,0.46637744034707157,0.505175983436853,-0.14,-0.54,-0.76,-0.56,-0.36,-0.46
1961,7,0.42888402625820576,0.4772234273318872,0.4699792960662526,-0.67,-0.94,-1.01,-0.63,-0.63,-0.59
1968,10,0.5273522975929978,0.4924078091106291,0.5403726708074534,0.5,0.67,0.95,1.11,0.54,0.31
1968,1,0.3326039387308535,0.3492407809110629,0.3788819875776398,-1.07,-0.95,-0.72,-0.75,0.15,0.28
1993,5,0.6892778993435449,0.6182212581344902,0.5879917184265011,0.35,0.23,0.13,0.35,0.06,0.0
2010,1,0.8512035010940919,0.8676789587852496,0.8095238095238095,1.25,0.9,0.38,-0.22,-0.69,-1.07
1950,3,0.20787746170678345,0.12364425162689802,0.09523809523809529,-1.54,-1.75,-1.27,-1.01,-0.97,-0.98
2007,12,0.17286652078774623,0.15618221258134485,0.21946169772256735,-1.68,-1.67,-1.21,-0.99,-0.84,-0.68
1997,5,0.6586433260393874,0.5249457700650759,0.4554865424430642,1.09,1.56,1.89,2.13,2.36,2.41
1961,6,0.5054704595185996,0.4511930585683297,0.412008281573499,-0.41,-0.67,-0.94,-1.01,-0.63,-0.63
2006,3,0.363238512035011,0.34490238611713664,0.31884057971014496,-0.32,-0.09,0.0,0.01,0.31,0.6
1971,12,0.2494529540481401,0.24078091106290672,0.25051759834368537,-0.92,-0.45,-0.19,0.07,0.38,0.45
1985,7,0.3566739606126915,0.29284164859002165,0.29399585921325055,-0.56,-0.7,-0.49,-0.37,-0.41,-0.66
1987,1,0.7680525164113786,0.7331887201735359,0.7163561076604555,1.13,0.98,0.58,0.62,0.92,1.29
2010,9,0.16849015317286653,0.18872017353579174,0.28571428571428575,-1.69,-1.64,-1.6,-1.54,-1.11,-0.93
1964,11,0.2035010940919038,0.1973969631236442,0.21739130434782616,-1.37,-0.89,-0.56,-0.34,-0.44,0.06
2002,9,0.7571115973741795,0.6789587852494577,0.660455486542443,1.25,1.47,1.37,0.6,0.64,0.36
2000,6,0.3457330415754924,0.3036876355748373,0.32712215320910976,-0.67,-0.49,-0.52,-0.7,-0.79,-0.92
1968,6,0.5514223194748359,0.3275488069414316,0.3581780538302278,0.28,0.16,0.01,0.04,0.5,0.67
1957,2,0.4704595185995624,0.3796095444685466,0.3229813664596274,0.18,0.41,0.62,0.63,0.87,0.84
2003,12,0.6126914660831511,0.561822125813449,0.5942028985507246,0.27,0.23,0.12,0.07,0.06,0.13
1952,10,0.4179431072210066,0.4121475054229935,0.391304347826087,-0.78,-0.39,0.2,0.24,0.29,0.22
1984,8,0.4660831509846828,0.38177874186550975,0.32091097308488614,-0.34,-0.67,-1.19,-1.34,-1.16,-0.72
1983,7,0.49452954048140046,0.6073752711496747,0.6935817805383023,-0.27,-0.52,-1.16,-1.29,-1.03,-0.67
2009,3,0.36761487964989065,0.3188720173535792,0.3229813664596274,-0.35,0.06,0.31,0.48,0.56,0.68
1999,10,0.2494529540481401,0.2537960954446854,0.25465838509316774,-1.58,-1.74,-1.77,-1.55,-0.98,-0.87
2008,9,0.46389496717724293,0.46203904555314534,0.4451345755693582,-0.35,-0.46,-0.86,-0.89,-0.79,-0.69
1961,10,0.29759299781181625,0.28633405639913234,0.3685300207039338,-0.63,-0.63,-0.59,-0.57,-0.48,-0.69
1999,4,0.275711159737418,0.28416485900216915,0.2339544513457557,-1.15,-1.19,-1.17,-1.22,-1.09,-1.23
2008,8,0.4901531728665208,0.42516268980477223,0.36645962732919257,-0.25,-0.35,-0.46,-0.86,-0.89,-0.79
1971,11,0.2669584245076587,0.22125813449023857,0.30020703933747417,-1.23,-0.92,-0.45,-0.19,0.07,0.38
1982,11,0.9387308533916849,0.9219088937093276,0.8157349896480331,2.2,2.35,1.94,1.38,0.95,0.9
1997,10,1.0350109409190371,0.9522776572668114,0.8985507246376812,2.41,2.29,2.38,2.03,1.34,0.78
1995,11,0.2778993435448578,0.2993492407809111,0.33333333333333337,-0.95,-0.86,-0.86,-0.61,-0.47,-0.38
1994,5,0.5864332603938731,0.5466377440347072,0.5300207039337475,0.32,0.24,0.53,0.48,0.75,1.11
1963,10,0.6586433260393874,0.6377440347071583,0.6356107660455487,0.77,1.02,0.79,0.38,-0.26,-0.87
1979,11,0.5820568927789935,0.5140997830802603,0.5652173913043479,0.52,0.54,0.22,0.03,-0.07,0.08
1995,8,0.38074398249452956,0.44468546637744033,0.4782608695652174,-0.84,-0.88,-1.1,-0.95,-0.86,-0.86
1983,5,0.7155361050328228,0.6963123644251628,0.7929606625258798,0.54,-0.11,-0.27,-0.52,-1.16,-1.29
2006,1,0.3194748358862145,0.2906724511930585,0.3850931677018634,-0.67,-0.71,-0.32,-0.09,0.0,0.01
1962,3,0.413566739606127,0.3665943600867679,0.3850931677018634,-0.69,-0.89,-0.65,-0.53,-0.53,-0.78
1978,2,0.5733041575492341,0.6247288503253796,0.6521739130434783,-0.2,-0.7,-0.74,-0.71,-0.55,-0.79
1953,7,0.5492341356673961,0.5748373101952278,0.5797101449275363,0.09,0.29,0.16,0.18,0.41,0.43
1962,2,0.39387308533916854,0.36225596529284165,0.37681159420289856,-0.48,-0.69,-0.89,-0.65,-0.53,-0.53
2009,7,0.6236323851203501,0.5574837310195228,0.5196687370600415,0.56,0.68,0.89,1.46,1.74,1.52
1998,12,0.14879649890590818,0.17353579175704986,0.20496894409937894,-1.69,-1.32,-0.95,-1.11,-1.15,-1.19
1994,2,0.5317286652078775,0.5119305856832972,0.5403726708074534,0.11,0.26,0.31,0.32,0.24,0.53
1990,5,0.5361050328227571,0.5075921908893709,0.5155279503105591,-0.08,0.09,0.22,0.22,0.21,0.1
1991,3,0.525164113785558,0.559652928416486,0.6086956521739131,0.19,0.26,0.52,0.76,0.68,0.42
2010,11,0.1597374179431073,0.12364425162689802,0.1759834368530021,-1.6,-1.54,-1.11,-0.93,-0.77,-0.52
1953,11,0.5579868708971554,0.5249457700650759,0.567287784679089,0.41,0.43,0.28,-0.38,-1.17,-0.81
1986,9,0.6345733041575493,0.559652928416486,0.484472049689441,0.81,1.01,1.12,1.14,1.13,0.98
1972,2,0.42013129102844643,0.2906724511930585,0.25258799171842655,-0.19,0.07,0.38,0.45,0.85,1.09
1983,10,0.2647702407002189,0.37744034707158347,0.4513457556935818,-1.29,-1.03,-0.67,-0.19,-0.52,-0.68
1976,9,0.5842450765864333,0.5162689804772235,0.47412008281573503,0.75,0.71,0.49,0.78,0.37,0.19
1965,11,0.8293216630196937,0.8047722342733189,0.7743271221532091,1.36,1.12,0.8,0.93,0.35,-0.38
1969,8,0.5536105032822758,0.44468546637744033,0.49896480331262943,0.43,0.62,0.4,0.38,0.28,0.2
1978,12,0.5054704595185996,0.4078091106290672,0.412008281573499,-0.13,-0.22,-0.02,0.02,-0.25,-0.29
